,Name,From,Date,Price,Number,Unit,Servings per container,Calories per serving,Fat g,Carb g,Protein g
0,Brown Rice,Hugo's,4/11/2022, $2.09 ,2.0,lb,22.0,150,1.0,32.0,3
1,Black beans,Hugo's,4/11/2022, $2.19 ,1.0,lb,13.0,80,1.0,21.0,8
2,Pinto beans,Hugo's,4/11/2022, $3.59 ,2.0,lb,26.0,80,1.0,21.0,7
3,Hugo's Milk,Hugo's,4/11/2022, $4.49 ,1.0,gal,16.0,150,8.0,11.0,8
4,Sam's Milk,Sam's,4/17/2022, $4.06 ,1.0,gal,16.0,150,8.0,11.0,8
5,Dry Roasted Peanuts,Sam's,4/17/2022, $4.28 ,978.0,g,34.0,160,14.0,5.0,7
6,Eggs $3/doz,Hugo's,4/16/2022, $3.00 ,600.0,g,12.0,70,5.0,0.0,6
7,Egg Whites,Hugo's,4/16/2022, $3.00 ,396.0,g,12.0,16,0.0,0.0,4
8,Yogurt,Sam's,4/17/2022, $3.98 ,40.0,oz,7.0,100,0.0,6.0,18
9,Cottage Cheese,Sam's,4/17/2022, $6.62 ,48.0,oz,12.0,90,2.5,4.0,14
10,cottage cheese ,Sam's,6/26/2022, $5.48 ,48.0,oz,12.0,90,2.5,4.0,14
11,Pork Chops on sale,Hugo's,4/16/2022,$2.03 ,1.4,lb,5.6,160,9.0,0.0,21
12,Pork Chops,Hugo's,4/15/2022,$4.06 ,1.4,lb,5.6,160,9.0,0.0,21
13,Eggs $2/doz,Hugo's,2/16/2022, $2.00 ,600.0,g,12.0,70,5.0,0.0,6
14,peanut butter,Sam's ,4/17/2022, $7.38 ,80.0,oz,70.0,180,15.0,8.0,7
15,Steak strips,Sam's ,4/17/2022, $11.97 ,12.0,oz,12.0,80,1.0,7.0,9
16,Rotisserie chicken,Sam's,4/6/2022, $4.98 ,1.0,unit,10.0,180,9.0,1.0,19
17,Ramen,Sam's,4/19/2022, $8.88 ,48.0,unit,48.0,380,14.0,53.0,9
18,Miso,Amazon,4/19/2022, $12.17 ,13.2,oz,1.36,546,17.0,73.0,32
19,Sliced turkey,Hugo's,4/22/2022, $3.00 ,9.0,oz,4.5,80,6.0,0.0,9
20,Super Potato Oles,Taco John's,4/30/2022, $5.50 ,1.0,dish,1.0,1120,68.0,104.0,26
21,Walnuts,Sam's,5/3/2022, $12.78 ,4.0,lb,48.0,190,18.0,4.0,4
22,refried beans,Hugo's,5/20/2022, $1.19 ,16.0,oz,3.5,100,0.5,18.0,6
23,Quinoa,Sam's club ,6/6/2022, $8.98 ,4.0,lb,40.0,170,2.5,29.0,6
24,boneless pork chops,,8/19/2022, $10.00 ,192.0,oz,,160,9.0,0.0,21
25,tuna ,Hugo,10/2/2022, $0.75 ,1.0,can,1.0,100,0.5,0.0,23
26,"instant oatmeal, protein cheap ",Hugo's ,10/24/2022, $2.00 ,8.0,packet,8.0,140,2.5,28.0,6
27,bulk eggs,Sam's ,11/14/2022, $21.48 ,180.0,egg,180.0,70,5.0,0.0,6
28,tuna from Sam's,Sam's ,2/7/2023, $12.98 ,8.0,cans,8.0,140,1.5,0.0,32
29,Canned salmon,Hugo's,12/1/2022, $2.98 ,1.0,can,5.0,110,4.0,0.0,17
30,Protein Powder,Sam's,2/17/2023, $25.88 ,1.0,canister,16.0,280,9.0,21.0,32
31,Spam,Walmart online,4/4/2023, $3.58 ,12.0,oz,6.0,160,14.0,1.0,7
32,Huel,ad Cal Newport,6/21/2023, $2.50 ,1.0,serving,1.0,400,,,40
33,Chickpeas,Target online,11/7/2023, $1.59 ,1.0,lb,13.0,100,1.0,23.0,8
34,Hummus,Sam's club,11/7/2023, $4.48 ,1.0,container,32.0,60,4.5,5.0,2
35,Dry Roasted Edamame,Amazon,8/10/2024, $17.59 ,1.0,big jar,26.0,130,5.0,9.0,14
